,medhinc23,medhval23,medrent23,totpop23,GEOID,totpop19,medhval19,medrent19,medhinc19,GENTRIFICATION
432,108175.0,718800.0,1970.0,6412,06073016100,6354.0,544889.0,1926.0,95100.0,0.12367914079573601
433,142697.0,911800.0,2063.0,5444,06073016201,5382.0,616400.0,1391.0,97594.0,-0.07170779048505457
434,68813.0,379800.0,1885.0,3923,06073016202,3868.0,282600.0,1361.0,63342.0,0.015041925141229227
435,64446.0,541300.0,1615.0,4886,06073016301,5338.0,340200.0,1297.0,43458.0,0.01892217214695742
436,56154.0,560500.0,1825.0,5784,06073016302,5865.0,416900.0,1271.0,41185.0,0.00618826135128939
437,110076.0,624800.0,1964.0,5410,06073016401,5340.0,458000.0,1560.0,80272.0,0.008462920387869707
438,81083.0,734600.0,1834.0,5428,06073016403,4871.0,495700.0,1394.0,50417.0,-0.07170114539620864
439,46737.0,625000.0,1598.0,4092,06073016404,3533.0,495700.0,1394.0,50417.0,0.07289278380496159
440,66701.0,605900.0,1759.0,8034,06073016502,7635.0,428800.0,1441.0,59230.0,0.05711392739859577
441,97955.0,422100.0,2327.0,2934,06073016503,3481.0,313800.0,1570.0,71975.0,-0.012788486714104833
442,59129.0,,1920.0,6734,06073016504,6856.0,246000.0,1480.0,46440.0,
443,126731.0,710800.0,2540.0,3634,06073016606,3575.0,444100.0,1801.0,105350.0,-0.0421451240154266
444,141229.0,721300.0,2358.0,7054,06073016607,7432.0,481900.0,1838.0,90058.0,-0.03958231058794351
445,133092.0,707500.0,3225.0,2646,06073016608,2737.0,521400.0,2721.0,114044.0,0.05241081907337977
446,122873.0,638200.0,2551.0,5935,06073016609,5467.0,461500.0,1851.0,105481.0,0.00600333880869898
447,84407.0,639600.0,1933.0,4560,06073016610,4082.0,446500.0,1781.0,85457.0,0.08295836168881626
