,statefp,countyfp,tractce,blkgrpce,TOTPOP_C_1,TOTPOP_F_1,MEDVAL_C_1,MEDVAL_F_1,MEDHINC__1,MEDHINC__2,MEDCRNT_CY,MEDCRNT_FY,GENTRIFICATION
1393,06,073,020105,2,1379,1459,812500,1168203,136595,151755,1951,2059,0.11279926335174954
1394,06,073,020106,1,2106,2066,813053,970905,140935,161326,2387,2587,0.05599677716390425
1395,06,073,020106,2,1686,1703,627376,662500,75090,85310,2287,2326,-0.06198204419889505
1396,06,073,020107,1,2413,2359,872712,894495,114644,129100,2196,2274,-0.08333333333333336
1397,06,073,020107,2,1720,1680,738347,835638,98928,108368,1881,1899,-0.05565147329650093
1398,06,073,018608,2,1085,1121,669167,699128,131908,149640,2670,2755,-0.056629834254143654
1399,06,073,018609,2,1691,1688,214000,426415,79691,84893,2149,2213,-0.0035105893186003594
1400,06,073,019301,1,1303,1268,843452,895652,177783,211227,1183,1190,-0.03015653775322284
1401,06,073,019303,2,2357,2294,891784,1050173,152732,166265,2383,2676,0.007654235727440145
1402,06,073,019403,1,4856,4725,682033,814589,113216,132552,2678,3501,0.05231353591160223
1403,06,073,019702,1,832,828,880814,918664,134149,150336,2903,3193,-0.03562384898710867
1404,06,073,019702,2,1284,1856,675824,829698,85029,96249,2159,2524,0.09156307550644567
1405,06,073,019702,3,1225,1186,822266,873348,121016,129615,1877,2776,0.046846224677716375
1406,06,073,019803,2,1519,1486,893281,921260,154364,163623,3299,3323,-0.05288904235727443
1407,06,073,019804,1,1619,1582,1075472,1112981,145154,170162,2942,3096,-0.06520488029465935
1408,06,073,019804,2,973,953,1021484,1203804,157875,176474,2911,2948,-0.03481813996316759
1409,06,073,018903,2,861,870,635227,814338,93871,104899,1895,2107,0.008459944751381218
1410,06,073,018903,3,1800,1754,780488,1159774,48602,55062,1701,2522,0.20683701657458559
1411,06,073,018904,1,1212,1202,626645,673913,77528,94885,1372,1623,-0.025840239410681407
1412,06,073,018904,2,1302,1298,547170,648897,70554,78425,2236,2508,-0.0062154696132596665
1413,06,073,019406,2,2126,2084,661127,829590,90883,106423,1930,2166,-0.003050184162062597
1414,06,073,019804,3,1830,1779,1104869,1281157,169062,185685,2806,2939,-0.018646408839778972
1415,06,073,020108,1,1859,1811,451515,597015,67123,70542,1816,1868,-0.019279465930018433
1416,06,073,020108,2,1266,1311,275000,294643,68406,76142,2200,3397,0.11043968692449355
